Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Tyreke Evans\evansty01,MEM,3290000,,,,,,Bi-annual Exception,3290000
Tarik Black\blackta01,HOU,3290000,,,,,,Bi-annual Exception,3290000
Anthony Tolliver\tollian01,DET,3290000,,,,,,Bi-annual Exception,3290000
Dennis Smith\smithde03,DAL,3218280,3819960,4463640,5686677,,,1st Round Pick,7038240
Zach LaVine\lavinza01,CHI,3202217,,,,,,1st Round Pick,3202217
T.J. Warren\warretj01,PHO,3152931,,,,,,1st Round Pick,3152931
Stanley Johnson\johnsst04,DET,3097800,3940402,,,,,1st round pick,3097800
Marquese Chriss\chrisma01,PHO,3073800,3206160,4078236,,,,1st Rd pick,3073800
Zach Collins\colliza01,POR,3057240,3628920,4240200,5406255,,,1st Round Pick,6686160
James Ennis\ennisja01,MEM,3028410,,,,,,Room exception,3028410
Seth Curry\curryse01,DAL,3028410,,,,,,Room exception,3028410
Mindaugas Kuzminskas\kuzmimi01,NYK,3025035,,,,,,Room Exception,3025035
Tomas Satoransky\satorto01,WAS,3000000,3129187,,,,,Cap Space,6129187
Justin Hamilton\hamilju01,TOR,3000000,,,,,,,3000000
Rajon Rondo\rondora01,CHI,3000000,,,,,,,3000000
Lucas Nogueira\noguelu01,TOR,2947305,,,,,,1st Round Pick,2947305
Jusuf Nurkic\nurkiju01,POR,2947305,,,,,,1st Round Pick,2947305
Malik Monk\monkma01,CHO,2904480,3447480,4028400,5345687,,,1st Round Pick,6351960
Frank Kaminsky\kaminfr01,CHO,2847600,3627842,,,,,1st round pick,2847600
Jakob Poeltl\poeltja01,TOR,2825640,2947320,3754886,,,,1st Round pick,2825640
Luke Kennard\kennalu01,DET,2759280,3275280,3827160,5273826,,,1st Round Pick,6034560
Justise Winslow\winslju01,MIA,2705040,3448926,,,,,1st round pick,2705040
Michael Carter-Williams\cartemi01,CHO,2700000,,,,,,Bi-annual Exception,2700000
Thon Maker\makerth01,MIL,2684160,2799720,3569643,,,,1st Round pick,2684160
Cedi Osman\osmande01,CLE,2642857,2775000,2907143,,,,MLE,8325000
Donovan Mitchell\mitchdo01,UTA,2621280,3111480,3635760,5195501,,,1st Round Pick,5732760
Myles Turner\turnemy01,IND,2569920,3410284,,,,,1st round pick,2569920
Gary Harris\harriga01,DEN,2550055,,,,,,1st Round Pick,2550055
Domantas Sabonis\sabondo01,IND,2550000,2659800,3529555,,,,1st Round pick,2550000
Reggie Bullock\bullore01,DET,2500000,2500000,,,,,Cap space,2500000
Richard Jefferson\jefferi01,CLE,2500000,2612500,,,,,Cap Space,2500000
Malcolm Delaney\delanma01,ATL,2500000,,,,,,Room Exception,2500000
Bam Adebayo\adebaba01,MIA,2490360,2955840,3454080,5115492,,,1st Round Pick,5446200
Bruno Caboclo\cabocbr01,TOR,2451225,,,,,,1st Round Pick,2451225
Ronnie Price\pricero01,OKC,2442455,,,,,,,2442455
Trey Lyles\lylestr01,UTA,2441400,3364249,,,,,1st round pick,2441400
Dario Saric\saricda01,PHI,2422560,2526840,3481986,,,,1st Round pick,2422560
Taurean Waller-Prince\princta02,ATL,2422560,2526840,3481986,,,,1st Round pick,2422560
Rodney Hood\hoodro01,UTA,2386864,,,,,,1st Round Pick,2386864
Justin Jackson\jacksju01,SAC,2365560,2807880,3280920,5029650,,,1st Round Pick,5173440
Shabazz Napier\napiesh01,POR,2361360,,,,,,1st Round Pick,2361360
Clint Capela\capelca01,HOU,2334520,,,,,,1st Round Pick,2334520
Nick Collison\collini01,OKC,2328652,,,,,,Minimum Salary,2328652
Raymond Felton\feltora01,OKC,2328652,,,,,,Minimum Salary,2328652
Udonis Haslem\hasleud01,MIA,2328652,,,,,,Minimum Salary,2328652
David West\westda01,GSW,2328652,,,,,,Minimum Salary,2328652
Jose Calderon\caldejo01,CLE,2328652,,,,,,Minimum Salary,2328652
Devin Booker\bookede01,PHO,2319360,3314365,,,,,1st round pick,2319360
Georgios Papagiannis\papagge01,SAC,2301360,2400480,3430288,,,,1st Round pick,2301360
Justin Patton\pattoju01,MIN,2247480,2667600,3117240,4781846,,,1st Round Pick,4915080
Guerschon Yabusele\yabusgu01,BOS,2247480,2667600,3117240,4781846,,,1st Round Pick,4915080
Monta Ellis\ellismo01,IND,2245400,2245400,2245400,2245400,2245400,,,11227000
Cameron Payne\payneca01,CHI,2203440,3263295,,,,,1st round pick,2203440
Denzel Valentine\valende01,CHI,2186400,2280600,3377569,,,,1st Round pick,2186400
Kyle Anderson\anderky01,SAS,2151704,,,,,,1st Round Pick,2151704
D.J. Wilson\wilsodj01,MIL,2135040,2534280,2961120,4548280,,,1st Round Pick,4669320
Matt Barnes\barnema02,SAC,2133542,2133542,2133541,,,,,6400625
Luc Mbah a Moute\mbahalu01,HOU,2116955,,,,,,Minimum Salary,2116955
Jeff Green\greenje02,CLE,2116955,,,,,,Minimum Salary,2116955
Derrick Rose\rosede01,CLE,2116955,,,,,,Minimum Salary,2116955
Omri Casspi\casspom01,GSW,2106470,,,,,,Minimum Salary,2106470
Mario Chalmers\chalmma01,MEM,2106407,,,,,,Minimum Salary,25000
Kelly Oubre\oubreke01,WAS,2093040,3208630,,,,,1st round pick,2093040
Juan Hernangomez\hernaju01,DEN,2076840,2166360,3321030,,,,1st Round pick,2076840
T.J. Leaf\leaftj01,IND,2028360,2407560,2813280,4326825,,,1st Round Pick,4435920
Tim Frazier\fraziti01,WAS,2000000,,,,,,Room exception,2000000
Anthony Tolliver\tollian01,SAC,2000000,,,,,,,2000000
Terry Rozier\roziete01,BOS,1988520,3050390,,,,,1st round pick,1988520
Kevin Seraphin\serapke01,IND,1974159,,,,,,,
John Collins\collijo01,ATL,1936920,2299080,2686560,4137302,,,1st Round Pick,4236000
Anderson Varejao\varejan01,POR,1913345,1913345,1913345,1913345,,,,7653380
Rashad Vaughn\vaughra01,MIL,1889040,2901565,,,,,1st round pick,1889040
Tim Duncan\duncati01,SAS,1881250,1881250,,,,,,3762500
Wade Baldwin\baldwwa01,MEM,1874400,1955160,3003126,,,,1st Round pick,1874400
Larry Sanders\sandela01,MIL,1865547,1865547,1865547,1865547,1865547,,,9327735
Harry Giles\gilesha01,SAC,1859400,2207040,2578800,3976510,,,1st Round Pick,4066440
Sam Dekker\dekkesa01,LAC,1794600,2760095,,,,,1st Round pick,1794600
Henry Ellenson\ellenhe01,DET,1780800,1857480,2856804,,,,1st Round pick,1780800
Eric Moreland\moreler01,DET,1739333,1826300,1913267,,,,MLE,500000
Jerian Grant\grantje02,CHI,1713840,2639314,,,,,1st Round pick,1713840
Jarrett Allen\allenja01,BRK,1713720,2034120,2376840,3909902,,,1st Round Pick,3747840
Mike Scott\scottmi01,WAS,1709538,,,,,,Minimum Salary,1709538
Jordan Crawford\crawfjo02,NOP,1709538,,,,,,,
Quincy Acy\acyqu01,BRK,1709538,,,,,,,
Malik Beasley\beaslma01,DEN,1700640,1773840,2731714,,,,1st Round pick,1700640
Mike Dunleavy\dunlemi02,ATL,1662500,,,,,,,1662500
OG Anunoby\anunoog01,TOR,1645200,1952760,2281800,3872215,,,1st Round Pick,3597960
Ante Zizic\zizican01,BOS,1645200,1952760,2281800,3872215,,,1st Round Pick,3597960
Delon Wright\wrighde01,TOR,1645200,2536898,,,,,1st Round pick,1645200
Caris LeVert\leverca01,BRK,1632480,1702800,2625718,,,,1st Round pick,1632480
Tyler Lydon\lydonty01,DEN,1579440,1874640,2190720,,,,1st Round Pick,3454080
Justin Anderson\anderju01,PHI,1579440,2516048,,,,,1st Round pick,1579440
DeAndre Liggins\liggide01,LAC,1577230,,,,,,Minimum Salary,26773
Robert Covington\covinro01,PHI,1577230,,,,,,,
Archie Goodwin\goodwar01,BRK,1577230,,,,,,,
DeAndre' Bembry\bembrde01,ATL,1567200,1634640,2603982,,,,1st Round pick,1567200
Jerami Grant\grantje01,OKC,1524305,,,,,,Draft Pick,1524305
Darius Miller\milleda01,NOP,1524305,1656092,,,,,Minimum Salary,1524305
Joe Harris\harrijo01,BRK,1524305,,,,,,Minimum Salary,1524305
Sean Kilpatrick\kilpase01,BRK,1524305,,,,,,Minimum Salary,1524305
Spencer Dinwiddie\dinwisp01,BRK,1524305,1656092,,,,,Minimum Salary,50000
Elijah Millsap\millsel01,PHO,1524305,,,,,,,
